,Name,region,release_date,type,score,url
262,精英部队,巴西,2007-08-17,"['剧情', '动作', '犯罪', '惊悚']",7.9,https://movie.douban.com/subject/2284851/
263,猎杀U-571,美国,2000-04-21,"['动作', '剧情', '战争']",7.9,https://movie.douban.com/subject/1293770/
264,决战犹马镇,美国,2007-09-07,"['动作', '犯罪', '剧情', '西部']",7.9,https://movie.douban.com/subject/1793904/
265,辣手神探,香港,1992-04-16,"['动作', '犯罪', '剧情', '惊悚']",7.9,https://movie.douban.com/subject/1293147/
266,警戒结束,美国,2012-09-21,"['剧情', '动作', '犯罪']",7.9,https://movie.douban.com/subject/6128922/
267,冲锋队之怒火街头,香港,1996-06-25,"['动作', '犯罪']",7.9,https://movie.douban.com/subject/1292633/
268,向日葵,韩国,2006-11-23,"['动作', '剧情']",7.9,https://movie.douban.com/subject/1972775/
269,蝙蝠侠：突袭阿卡姆,美国,2014-07-29,"['动作', '犯罪', '动画']",7.9,https://movie.douban.com/subject/25825320/
270,斯巴达克斯,美国,1960-10-07,"['动作', '冒险', '传记', '剧情', '历史']",7.9,https://movie.douban.com/subject/1298366/
271,正义联盟：战争,美国,2014-02-04,"['动作', '科幻', '动画', '奇幻', '冒险']",7.9,https://movie.douban.com/subject/25760447/
272,红潮风暴,美国,1995-05-12,"['动作', '剧情', '惊悚']",7.9,https://movie.douban.com/subject/1295363/
273,洛奇3,美国,1982-05-28,"['动作', '剧情', '运动']",7.9,https://movie.douban.com/subject/1303695/
274,学校风云,香港,1988-08-20,"['动作', '犯罪', '剧情', '惊悚']",7.9,https://movie.douban.com/subject/1468547/
275,终极细胞战,美国,2001-08-10,"['动画', '动作', '冒险', '喜剧', '犯罪', '奇幻', '惊悚']",7.9,https://movie.douban.com/subject/1306513/
276,势不两立,美国,1997-09-26,"['剧情', '动作', '冒险', '惊悚']",7.9,https://movie.douban.com/subject/1292898/
277,笑破铁幕,美国,1984-08-09,"['动作', '喜剧', '爱情']",7.9,https://movie.douban.com/subject/1299851/
278,省港旗兵4：地下通道,香港,1990-07-20,"['动作', '犯罪']",7.9,https://movie.douban.com/subject/1791226/
279,天与地,日本,1990-06-23,"['剧情', '动作', '冒险', '战争']",7.9,https://movie.douban.com/subject/1299486/
